Tipo;ID;Parent ID;Nome (EN);Nome (TH);Prezzo;Modificatore Prezzo;SKU;Descrizione (EN);Descrizione (TH);Immagine (URL);Immagine (File);Icona Categoria;Gruppo Extra Abilitati
"Categoria";"traditional-italian-pizza";"";"Traditional Italian Pizza";"พิซซ่าอิตาเลียนแบบดั้งเดิม";"";"";"";"";"";"";"";"🍕";""
"Extra";"10118";"pizza-ham-and-cheese";"Gorgonzola Extra";"ชีสกอร์กอนโซล่าเพิ่ม";"50";"";"10118";"";"";"";"";"";""
"Extra";"10113";"pizza-ham-and-cheese";"Ham Extra";"แฮมเพิ่ม";"50";"";"10113";"";"";"";"";"";""
"Extra";"10236";"pizza-ham-and-cheese";"Hotdog Extra";"ฮอทดอกเพิ่ม";"50";"";"10236";"";"";"";"";"";""
"Extra";"10094";"pizza-ham-and-cheese";"Mushrooms Extra";"เห็ดเพิ่ม";"30";"";"10094";"";"";"";"";"";""
"Extra";"10068";"pizza-ham-and-cheese";"Onion/Garlic Extra";"หอมใหญ่/กระเทียมเพิ่ม";"20";"";"10068";"";"";"";"";"";""
"Extra";"10171";"pizza-ham-and-cheese";"Parmesan cheese 🧀";"พาร์เมซานชีสเพิ่ม";"20";"";"10171";"";"";"";"";"";""
"Extra";"10062";"pizza-ham-and-cheese";"Pesto Sauce Extra";"ซอสเพสโต้เพิ่ม";"60";"";"10062";"";"";"";"";"";""
"Extra";"10095";"pizza-ham-and-cheese";"Pineapple Extra";"สับปะรดเพิ่ม";"30";"";"10095";"";"";"";"";"";""
"Extra";"10088";"pizza-ham-and-cheese";"Salame Calabrese Extra";"ซาลามี่คาลาเบรียเพิ่ม";"50";"";"10088";"";"";"";"";"";""
"Extra";"10087";"pizza-ham-and-cheese";"Salame Extra";"ซาลามี่เพิ่ม";"50";"";"10087";"";"";"";"";"";""
"Extra";"10086";"pizza-ham-and-cheese";"Sausage Extra";"ไส้กรอกเพิ่ม";"50";"";"10086";"";"";"";"";"";""
"Extra";"10107";"pizza-ham-and-cheese";"Sweet Bell Peppers Extra";"พริกหวานเพิ่ม";"50";"";"10107";"";"";"";"";"";""
"Extra";"10172";"pizza-ham-and-cheese";"Tofu Extra";"เต้าหู้เพิ่ม";"50";"";"10172";"";"";"";"";"";""
"Extra";"10120";"pizza-ham-and-cheese";"Tuna Extra";"ทูน่าเพิ่ม";"50";"";"10120";"";"";"";"";"";""
"Extra";"10100";"pizza-ham-and-cheese";"Vegetables Extra";"ผักเพิ่ม";"50";"";"10100";"";"";"";"";"";""
"Piatto";"pizza-mushrooms-and-tofu-vegan";"traditional-italian-pizza";"PIZZA MUSHROOMS & TOFU Vegan";"พิซซ่าเห็ดและเต้าหู้มังสวิรัติ";"230";"";"";"Tomato Sauce, Mushrooms, Tofu";"ซอสมะเขือเทศ, น้ำมันมะกอก, เห็ด, เต้าหู้";"https://gjqevgkbjkharczhikcl.supabase.co/storage/v1/object/public/delivery_food/01-Pizza/07-pizza-mushrooms-and-tofu-vegan.webp";"01-Pizza/07-pizza-mushrooms-and-tofu-vegan.webp";"";"Pizza Extras"
"Variante";"10006";"pizza-mushrooms-and-tofu-vegan";"12""";"12""";"230";"0";"10006";"";"";"";"";"";""
